湖北移动,#genre#
山东卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226695/index.m3u8
湖北卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226689/index.m3u8
黑龙江卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226724/index.m3u8
河北卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226247/index.m3u8
安徽卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226696/index.m3u8
辽宁卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226718/index.m3u8
东南卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226692/index.m3u8
江西卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226702/index.m3u8
重庆卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226243/index.m3u8
四川卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226725/index.m3u8,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226252/index.m3u8
广西卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226570/index.m3u8
河南卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226697/index.m3u8
贵州卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226245/index.m3u8
吉林卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226574/index.m3u8
海南卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226246/index.m3u8
甘肃卫视HD,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226721/index.m3u8
大湾区卫视,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226748/index.m3u8
山西卫视,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226174/index.m3u8
青海卫视,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226164/index.m3u8
云南卫视,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226566/index.m3u8
陕西卫视,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226708/index.m3u8
西藏卫视,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226169/index.m3u8
内蒙古卫视,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226166/index.m3u8
宁夏卫视,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226173/index.m3u8
新疆卫视,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226168/index.m3u8
兵团卫视,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226171/index.m3u8
厦门卫视,http://111.4.254.12/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226726/index.m3u8
